unemployed,ANYWORK,education_level,latino,race,home_food_costs,outside_food_costs,housing_status,LIVQTR,owe_backrent,owe_backmortgage,expect_eviction,income_bracket,expect_foreclosure,use_credit_cards,weight
2,1,7,1,1,200.0,0.0,2,2,77,1,77,8,3,1,40.414232465
2,2,3,1,2,186.50878955549945,80.75489671399761,1,4,77,77,77,5,77,1,762.46048398
2,2,1,1,2,158.03571781371014,20.0,1,3,77,77,77,6,77,1,721.08245031
2,1,7,1,3,60.0,12.0,1,7,77,77,77,5,77,1,138.63335259
2,1,6,1,1,100.0,20.0,2,3,77,1,77,7,3,1,52.742529497
2,1,7,1,1,186.50878955549945,80.75489671399761,1,5,77,77,77,5,77,1,87.829654772
2,1,7,1,1,150.0,25.0,2,6,77,1,77,7,3,1,55.157586462
2,1,6,1,1,300.0,150.0,2,9,77,1,77,8,2,1,93.047593504
2,2,7,1,1,250.0,250.0,1,3,77,77,77,6,77,1,342.45641261
2,1,7,1,4,75.0,20.0,2,3,77,1,77,7,3,1,869.20065213
2,1,7,1,1,200.0,200.0,3,9,1,77,2,8,77,1,87.829654772
1,1,6,1,1,186.50878955549945,80.75489671399761,1,4,77,77,77,5,77,1,52.742529497
2,1,6,1,1,400.0,100.0,1,2,77,77,77,8,77,1,93.047593504
2,1,5,1,1,150.0,250.0,3,3,1,77,3,5,77,1,62.916097367
1,1,7,1,1,150.0,500.0,2,2,77,1,77,8,3,1,55.806555255
2,1,7,1,1,186.50878955549945,80.75489671399761,1,5,77,77,77,5,77,1,80.389594947
1,1,7,1,1,200.0,130.0,3,9,1,77,2,5,77,1,80.389594947
2,1,7,1,1,150.0,30.0,2,9,77,1,77,8,2,1,189.07722689
1,1,7,1,1,300.0,80.0,2,2,77,1,77,8,3,1,55.806555255
2,1,7,1,1,600.0,100.0,2,2,77,1,77,8,3,1,87.829654772
1,1,7,1,1,140.0,50.0,2,2,77,1,77,7,3,1,51.796716957
2,1,6,2,4,100.0,50.0,3,3,1,77,3,6,77,1,140.83504915
2,1,4,1,2,350.0,350.0,2,3,77,1,77,8,3,1,145.67257955
1,1,7,1,4,186.50878955549945,80.75489671399761,1,4,77,77,77,5,77,1,109.52223174
2,1,5,1,1,150.0,60.0,2,3,77,1,77,6,3,1,88.60840646
2,2,7,1,2,200.0,70.0,1,3,77,77,77,1,77,1,107.8796218
1,2,7,1,2,200.0,50.0,2,3,77,1,77,6,3,1,108.61604004
2,2,7,1,1,186.50878955549945,80.75489671399761,1,2,77,77,77,5,77,1,80.389594947
2,1,7,1,1,200.0,97.9202222742942,2,2,77,1,77,8,3,1,54.069355693
2,2,6,1,1,140.0,150.0,2,8,77,1,77,8,3,1,342.45641261
2,2,3,1,2,200.0,0.0,4,9,77,77,77,1,77,1,616.04287811
2,1,7,2,1,200.0,0.0,2,3,77,2,77,8,4,1,54.391850865
2,1,7,2,1,200.0,35.0,2,5,77,1,77,5,3,1,79.416093158
2,1,7,1,1,500.0,50.0,2,9,77,1,77,8,2,1,54.069355693
2,1,3,1,2,300.0,300.0,3,7,1,77,2,2,77,1,616.04287811
2,1,7,2,1,250.0,0.0,1,2,77,77,77,8,77,1,77.522584905
2,2,7,1,1,65.0,110.0,1,9,77,77,77,8,77,1,80.389594947
2,1,7,1,1,300.0,150.0,1,5,77,77,77,6,77,1,55.806555255
2,1,7,1,1,90.0,117.0,2,3,77,1,77,7,3,1,52.742529497
2,1,4,1,2,500.0,500.0,1,2,77,77,77,7,77,1,81.006254031
2,1,6,1,1,350.0,0.0,2,2,77,1,77,5,3,1,51.796716957
2,1,7,1,1,60.0,20.0,3,6,1,77,2,5,77,1,288.20960436
2,1,4,1,2,100.0,25.0,3,9,1,77,2,3,77,1,5270.7481786
2,1,7,2,1,150.0,100.0,3,7,1,77,2,5,77,1,422.83935536
2,1,7,1,1,330.0,0.0,2,3,77,1,77,8,3,1,87.829654772
1,2,3,1,2,186.50878955549945,80.75489671399761,3,3,2,77,4,5,77,1,762.46048398
2,1,7,1,1,186.50878955549945,80.75489671399761,1,5,77,77,77,5,77,1,93.047593504
2,1,7,1,1,200.0,100.0,2,3,77,1,77,8,3,1,87.829654772
2,1,6,2,2,40.0,10.0,1,9,77,77,77,4,77,1,64.227511174
1,2,3,1,2,186.50878955549945,80.75489671399761,1,2,77,77,77,5,77,1,496.83719384
